# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=N; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
578.120587,7.8958763040e+09
578.698997,7.8587801354e+09
579.277985,7.9088327551e+09
579.857553,7.9517104454e+09
580.437700,7.9638988491e+09
581.018428,7.9543341470e+09
581.599737,7.9528909085e+09
582.181628,8.0272167253e+09
582.764101,8.0233108111e+09
583.347156,8.0103335505e+09
583.930795,8.0241706737e+09
584.515018,8.0568007151e+09
585.099826,8.0281658291e+09
585.685218,7.9475124668e+09
586.271196,7.9443218059e+09
586.857761,1.5690077931e+10
587.444912,9.1201919034e+09
588.032651,8.0335882528e+09
588.620977,8.7408675324e+09
589.209893,5.5441818453e+10
589.799397,3.4786270321e+10
590.389492,8.4609415171e+09
590.980177,9.3270318167e+09
591.571452,1.2686393258e+10
592.163320,7.9605983091e+09
592.755779,1.0133767138e+10
593.348831,1.4095206553e+10
593.942477,7.9853358424e+09
594.536717,9.8316038959e+09
595.131551,7.9132028734e+09
595.726980,1.4836069183e+10
596.323005,7.9755973143e+09
596.919626,9.3830476627e+09
597.516844,7.9538451100e+09
598.114660,1.0909600309e+10
598.713074,7.9086715250e+09
599.312086,7.9408170953e+09
599.911698,8.7843936276e+09
600.511910,9.5315321290e+09
601.112722,7.9090361049e+09
601.714136,7.8895781291e+09
602.316151,7.8620698412e+09
602.918768,8.5054363274e+09
603.521988,8.6998016349e+09
604.125812,7.9663246902e+09
604.730240,7.9671848291e+09
605.335273,7.9740043904e+09
605.940911,7.9470500055e+09
606.547155,7.9147250747e+09
607.154005,8.4225095832e+09
607.761463,7.9638328659e+09
608.369529,7.9202747794e+09
608.978202,7.9005217186e+09
609.587485,7.8980709324e+09
610.197378,8.1602140397e+09
610.807880,8.1239291673e+09
611.418994,7.8910800995e+09
612.030718,7.8659338591e+09
612.643055,7.8112959121e+09
613.256005,7.8284801606e+09
613.869567,9.3712549921e+09
614.483744,9.2936924203e+09
615.098535,8.2201600362e+09
615.713941,8.3452392433e+09
616.329963,7.6115639036e+09
616.946601,1.0936013169e+10
617.563857,8.7878343058e+09
618.181729,7.7077939149e+09
618.800220,8.2810575239e+09
619.419330,8.4850251110e+09
620.039059,7.6557690787e+09
620.659408,1.0504513755e+10
621.280378,8.6945224132e+09
621.901969,7.6076490740e+09
622.524182,1.0847944605e+10
623.147018,7.5176837308e+09
623.770477,2.1212632485e+10
624.394559,1.3624386563e+10
625.019266,8.3805657840e+09
625.644598,8.5678127080e+09
626.270555,1.8687367138e+10
626.897139,1.2172308368e+10
627.524350,7.4710565663e+09
628.152188,8.5645824983e+09
628.780654,1.6029285123e+10
629.409749,7.5609552588e+09
630.039474,2.1609734738e+11
630.669829,1.9464927843e+10
631.300814,7.5919228862e+09
631.932430,7.2183265747e+09
632.564679,1.0713900223e+10
633.197560,2.0289062797e+10
633.831074,7.2713102852e+09
634.465222,7.4900906243e+09
635.100005,9.6441494627e+09
635.735423,1.3230607672e+10
636.371476,7.4890258437e+10
637.008166,7.2701484343e+09
637.645493,7.3026778159e+09
638.283457,8.8299529483e+09
638.922060,1.0250426215e+10
639.561301,7.2043964040e+09
640.201183,7.1771908299e+09
640.841704,7.2092575989e+09
641.482866,8.4170528495e+09
642.124670,8.5863644547e+09
642.767116,7.3369231248e+09
643.410204,7.1589465275e+09
644.053936,7.1431697718e+09
644.698312,7.2350788019e+09
645.343333,7.5779751058e+09
645.988999,7.9727565060e+09
646.635311,1.5050190402e+10
647.282270,1.3341660391e+10
647.929876,8.7644493900e+09
648.578130,7.1216572187e+09
649.227033,7.1631554185e+09
649.876584,2.1567421171e+10
650.526786,1.2079518219e+10
651.177638,7.1379732778e+09
651.829141,8.2107984121e+09
652.481297,9.9172924413e+09
653.134104,7.1226472314e+09
653.787565,1.7639478900e+10
654.441680,1.1398646852e+10
655.096449,7.3111226021e+09
655.751873,1.8965364883e+10
656.407953,8.9258863197e+09
657.064689,1.0118934713e+10
657.722082,1.7746032257e+10
658.380133,7.9507070755e+09
659.038843,7.0821589118e+09
659.698211,8.9877933700e+09
660.358239,1.1707999122e+10
661.018928,7.0386746926e+09
661.680277,7.0906747635e+09
662.342289,7.1477474874e+09
663.004962,8.1456216586e+09
663.668299,8.9799921285e+09
664.332299,7.0181928240e+09
664.996964,7.1710697093e+09
