source_file,charge_factor_raw,charge_factor_mean_one,unit,description
near\59v-17.5ns-15.0v\C2--C1--01360.trc,0.9181395452628843,0.8686809180216138,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01376.trc,1.015612566411007,0.9609032320806903,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01381.trc,1.2462845145131185,1.179149271773712,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01383.trc,1.0893258055790636,1.0306456635021797,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01394.trc,1.0067361933355665,0.9525050142371618,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01415.trc,0.70220186618143,0.6643754371524442,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01420.trc,1.2896201862867291,1.2201505240709376,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01432.trc,1.478691215758944,1.3990366163873174,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01433.trc,0.7864011387238264,0.7440390370335915,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01439.trc,0.9013639277698878,0.8528089747212922,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01449.trc,0.989939589843629,0.9366132154182321,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01465.trc,0.787116440575131,0.7447158067817847,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01470.trc,1.3839710967039265,1.309418910233216,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01476.trc,0.8615398679718534,0.8151301697910471,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01498.trc,1.4494062094744677,1.3713291439505606,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01512.trc,0.8163482609448905,0.7723729583392586,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01522.trc,1.1782086583405933,1.1147405470431762,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01550.trc,1.2071936140065584,1.142164132081676,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01555.trc,1.220616153447901,1.154863621984105,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01563.trc,1.1554398902940628,1.0931982940916183,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01576.trc,1.1226356567528837,1.0621611692290924,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01581.trc,0.9528029902094779,0.9014771017099844,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01603.trc,1.0871184854865266,1.0285572480164884,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01610.trc,1.4053956248418356,1.329689335210598,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
