id,x_m,y_m,shape,size_m
387,-0.46389999985694885,-0.20270000398159027,Square,0.0244
388,-0.46389999985694885,-0.1768999993801117,Square,0.0244
389,-0.43810001015663147,-0.25429999828338623,Square,0.0244
390,-0.43810001015663147,-0.22849999368190765,Square,0.0244
391,-0.43810001015663147,-0.20270000398159027,Square,0.0244
392,-0.43810001015663147,-0.1768999993801117,Square,0.0244
393,-0.4122999906539917,-0.25429999828338623,Square,0.0244
394,-0.4122999906539917,-0.22849999368190765,Square,0.0244
395,-0.4122999906539917,-0.20270000398159027,Square,0.0244
396,-0.4122999906539917,-0.1768999993801117,Square,0.0244
397,-0.3865000009536743,-0.25429999828338623,Square,0.0244
398,-0.3865000009536743,-0.22849999368190765,Square,0.0244
399,-0.3865000009536743,-0.20270000398159027,Square,0.0244
400,-0.3865000009536743,-0.1768999993801117,Square,0.0244
401,-0.35910001397132874,-0.25429999828338623,Square,0.0244
402,-0.35910001397132874,-0.22849999368190765,Square,0.0244
403,-0.35910001397132874,-0.20270000398159027,Square,0.0244
404,-0.35910001397132874,-0.1768999993801117,Square,0.0244
405,-0.33329999446868896,-0.25429999828338623,Square,0.0244
406,-0.33329999446868896,-0.22849999368190765,Square,0.0244
407,-0.33329999446868896,-0.20270000398159027,Square,0.0244
408,-0.33329999446868896,-0.1768999993801117,Square,0.0244
409,-0.30750000476837164,-0.25429999828338623,Square,0.0244
410,-0.30750000476837164,-0.22849999368190765,Square,0.0244
411,-0.30750000476837164,-0.20270000398159027,Square,0.0244
412,-0.30750000476837164,-0.1768999993801117,Square,0.0244
413,-0.2816999852657318,-0.25429999828338623,Square,0.0244
414,-0.2816999852657318,-0.22849999368190765,Square,0.0244
415,-0.2816999852657318,-0.20270000398159027,Square,0.0244
416,-0.2816999852657318,-0.1768999993801117,Square,0.0244
417,-0.25429999828338623,-0.25429999828338623,Square,0.0244
418,-0.25429999828338623,-0.22849999368190765,Square,0.0244
419,-0.25429999828338623,-0.20270000398159027,Square,0.0244
420,-0.25429999828338623,-0.1768999993801117,Square,0.0244
421,-0.22849999368190765,-0.25429999828338623,Square,0.0244
422,-0.22849999368190765,-0.22849999368190765,Square,0.0244
423,-0.22849999368190765,-0.20270000398159027,Square,0.0244
424,-0.22849999368190765,-0.1768999993801117,Square,0.0244
425,-0.20270000398159027,-0.25429999828338623,Square,0.0244
426,-0.20270000398159027,-0.22849999368190765,Square,0.0244
427,-0.20270000398159027,-0.20270000398159027,Square,0.0244
428,-0.20270000398159027,-0.1768999993801117,Square,0.0244
429,-0.1768999993801117,-0.25429999828338623,Square,0.0244
430,-0.1768999993801117,-0.22849999368190765,Square,0.0244
431,-0.1768999993801117,-0.20270000398159027,Square,0.0244
432,-0.1768999993801117,-0.1768999993801117,Square,0.0244
433,-0.14350000023841858,-0.25429999828338623,Square,0.0244
434,-0.14350000023841858,-0.22849999368190765,Square,0.0244
435,-0.14350000023841858,-0.20270000398159027,Square,0.0244
436,-0.14350000023841858,-0.1768999993801117,Square,0.0244
437,-0.1177000030875206,-0.25429999828338623,Square,0.0244
438,-0.1177000030875206,-0.22849999368190765,Square,0.0244
439,-0.1177000030875206,-0.20270000398159027,Square,0.0244
440,-0.1177000030875206,-0.1768999993801117,Square,0.0244
441,-0.09189999848604202,-0.25429999828338623,Square,0.0244
442,-0.09189999848604202,-0.22849999368190765,Square,0.0244
443,-0.09189999848604202,-0.20270000398159027,Square,0.0244
444,-0.09189999848604202,-0.1768999993801117,Square,0.0244
445,-0.06610000133514404,-0.25429999828338623,Square,0.0244
446,-0.06610000133514404,-0.22849999368190765,Square,0.0244
447,-0.06610000133514404,-0.20270000398159027,Square,0.0244
448,-0.06610000133514404,-0.1768999993801117,Square,0.0244
449,-0.03869999945163727,-0.25429999828338623,Square,0.0244
450,-0.03869999945163727,-0.22849999368190765,Square,0.0244
451,-0.03869999945163727,-0.20270000398159027,Square,0.0244
452,-0.03869999945163727,-0.1768999993801117,Square,0.0244
453,-0.012900000438094139,-0.25429999828338623,Square,0.0244
454,-0.012900000438094139,-0.22849999368190765,Square,0.0244
455,-0.012900000438094139,-0.20270000398159027,Square,0.0244
456,-0.012900000438094139,-0.1768999993801117,Square,0.0244
457,0.012900000438094139,-0.25429999828338623,Square,0.0244
458,0.012900000438094139,-0.22849999368190765,Square,0.0244
459,0.012900000438094139,-0.20270000398159027,Square,0.0244
460,0.012900000438094139,-0.1768999993801117,Square,0.0244
461,0.03869999945163727,-0.25429999828338623,Square,0.0244
462,0.03869999945163727,-0.22849999368190765,Square,0.0244
463,0.03869999945163727,-0.20270000398159027,Square,0.0244
464,0.03869999945163727,-0.1768999993801117,Square,0.0244
465,0.06610000133514404,-0.25429999828338623,Square,0.0244
466,0.06610000133514404,-0.22849999368190765,Square,0.0244
467,0.06610000133514404,-0.20270000398159027,Square,0.0244
468,0.06610000133514404,-0.1768999993801117,Square,0.0244
469,0.09189999848604202,-0.25429999828338623,Square,0.0244
